n,count,mean,mean_recal,median,25perc,std
2,16,0.05536526698867689,3.7448733760554087,0.054478066501434996,0.05714886327121049,0.0049612265367978085
3,16,0.036255381343596786,2.701733487361454,0.03709359149430812,0.03948658021136672,0.005129470947997717
4,16,0.029645326907173197,2.3047848959643655,0.029270485399095887,0.033964197099301166,0.004322434274693547
5,16,0.025288096609592168,2.170600300715012,0.02443070296383381,0.029880765271902348,0.005581772577747294
6,16,0.022783591079527394,1.9145539996539935,0.021277821033379447,0.027067522936098286,0.00495434578238481
7,16,0.02150259443870321,1.876853928719127,0.020903673915192832,0.023015058109519648,0.0032551292135803976
8,16,0.01988452947244309,1.9053893852669916,0.020142544841157427,0.022604904131642175,0.003420819936668031
9,16,0.02034481876051321,1.8756666050449078,0.020520139912784712,0.021430441049292655,0.002146761886065073
10,16,0.01943401876680263,1.8659382088594356,0.018582459387720643,0.022093711747417366,0.003064935661945401
11,16,0.018101435354064555,1.8518107197920435,0.01796692928722881,0.01999298797944205,0.0025468465075604834
12,16,0.018693914980533757,1.7742610449864489,0.01947815925519017,0.021010132440838825,0.0028442192564975544
13,16,0.018317153465544397,1.8145376947660867,0.018426905074465053,0.019107153741565304,0.00150763847710686
14,16,0.017499758929927993,1.7942967155761238,0.01752219394619804,0.01956679339382552,0.002056994756146285
15,16,0.01858657872275156,1.7601024447272102,0.01876811359534359,0.01966798168353655,0.0013677052074694898
16,1,0.018782179158354714,1.7828043913644558,0.018782179158354714,0.018782179158354714,0.0
